"","Sample.ID","Corrected.Sample.IDs..avoid.duplications.","Source.Plate","Source.Well.Position","Stock.Concentration.in.ng.uL","Village","Arrondissement","Cercle","region","zone.agro.ecologique","LATITUDE","LONGITUDE"
"61","gnègnèlo","GNEGNELO_1","Plate 1","F01",62.51,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"62","gnègnèlo","GNEGNELO_2","Plate 1","F02",78.15,"Kendenfiya","Kokofata","Kita","Kayes","nord guinéenne",12.543312,-9.484461
"63","Fini Salif Mariko","FINI_SALIF_MARIKO","Plate 1","F03",93.16,"Falani","Banco","Dioîla","koulikoro","soudanienne",12.02423,-6.46366
"64","Fini Lassino Doumbia","FINI_LASSINO_DOUMBIA","Plate 1","F04",82.84,"Falani","Banco","Dioîla","koulikoro","soudanienne",12.02423,-6.46366
"65","Fini Madou Doumbia","FINI_MADOU_DOUMBIA","Plate 1","F05",117,"Falani","Banco","Dioîla","koulikoro","soudanienne",12.02423,-6.46366
"66","Fini Soumaîla Diarra","FINI_SOUMAILA_DIARRA","Plate 1","F06",112,"Kanzo-Bamanan","Banco","Dioîla","koulikoro","soudanienne",12.05326,-6.44242
"67","Fini Brama Diarra","FINI_BRAMA_DIARRA","Plate 1","F07",73.5,"","","","","",NA,NA
"68","Sourougoumi H. Sidibé ","SOUROUGOUMI_H_SIDIBE","Plate 1","F08",72.5,"Fadabougou","Dioîla","Dioîla","koulikoro","soudanienne",12.45,-6.8
"69","Finiba Bakary Nthi Sidibé","FINIBA_BAKARY_NTHI_SIDIBE","Plate 1","F09",19.39,"doubala koro","Massigui","Doila","koulikoro","soudanienne",11.94241,-6.77678
"70","Finiba Boureima Sidibé","FINIBA_BOUREIMA_SIDIBE","Plate 1","F10",73.37,"Kébila","Kébila","Kolondiéba","sikasso","nord guinéenne",11.2925,-7.043
"71","Finiba Madou Sidibé","FINIBA_MADOU_SIDIBE","Plate 1","F11",63.34,"Doubala-Koro","Massigui","Dioîla","koulikoro","soudanienne",11.94241,-6.77678
"72","Finiba Salif Sidibé","FINIBA_SALIF_SIDIBE","Plate 1","F12",80.15,"Doubala-Koro","Massigui","Dioîla","koulikoro","soudanienne",11.94241,-6.77678
"73","Finiba de Issa Sidibé","FINIBA_DE_ISSA_SIDIBE","Plate 1","G01",55.12,"Doubala-Koro","Massigui","Dioîla","koulikoro","soudanienne",11.94241,-6.77678
"74","Finibé de dramane Sidibé","FINIBE_DE_DRAMANE_SIDIBE","Plate 1","G02",73.8,"Doubala-Koro","Massigui","Dioîla","koulikoro","soudanienne",11.94241,-6.77678
"75","Finiblémi Chaka sidibé","FINIBLEMI_CHAKA_SIDIBE","Plate 1","G03",70.2,"Doubala-Koro","Massigui","Dioîla","koulikoro","soudanienne",11.94241,-6.77678
"76","Finiblémi Niangoura togola","FINIBLEMI_NIANGOURA_TOGOLA","Plate 1","G04",80.98,"Domi","Dioîla","Dioîla","koulikoro","soudanienne",12.26783,-6.19633
"77","Finiblémi de seiba diarra","FINIBLEMI_DE_SEIBA_DIARRA","Plate 1","G05",82.28,"Domi","Dioîla","Dioîla","koulikoro","soudanienne",12.26783,-6.19633
"78","finiblémi Gné Mariko","FINIBLEMI_GNE_MARIKO","Plate 1","G06",68.47,"Domi","Dioîla","Dioîla","koulikoro","soudanienne",12.26783,-6.19633
"79","Finiblémi Alamissa dao","FINIBLEMI_ALAMISSA_DAO","Plate 1","G07",61.1,"Domi","Dioîla","Dioîla","koulikoro","soudanienne",12.26783,-6.19633
"80","Finiblémi bassira togola","FINIBLEMI_BASSIRA_TOGOLA","Plate 1","G08",72.09,"Fadabougou","Dioîla","Dioîla","koulikoro","soudanienne",12.45,-6.8
"81","Sourougou fini","SOUROUGOU_FINI","Plate 1","G09",13.11,"Doubala-Koro","Massigui","Dioîla","koulikoro","soudanienne",11.94241,-6.77678
"82","Sourougou fini baché Bello","SOUROUGOU_FINI_BACHE_BELLO","Plate 1","G10",58.87,"Fadabougou","Dioîla","Dioîla","koulikoro","soudanienne",12.45,-6.8
"83","Finiblémi Farako","FINIBLEMI_FARAKO","Plate 1","G11",55.92,"Farako","Sikasso ","Sikasso","sikasso","nord guinéenne",11.40505,-5.81275
"84","Fini","FINI_1","Plate 1","G12",44.81,"Mané","Timissa","Tominian","ségou","sahélienne",13.85638,-4.24291
"85","Kassan gara","KASSAN_GARA","Plate 1","H01",21.93,"kérékoumala","Garalo","Bougouni","sikasso","nord guinéenne",10.9693,-7.3821
"86","Fini","FINI_2","Plate 1","H02",75.99,"Mané","Timissa","Tominian","ségou","sahélienne",13.85638,-4.24291
"87","Pongon","PONGON_1","Plate 1","H03",49.03,"Djimerou","Koporo Na","Koro","Mopti","sahélienne",14.1511,-3.30966
"88","Pong tapiri","PONG_TAPIRI","Plate 1","H04",73.72,"Koporo-Pen","Koporo Na","Koro","Mopti","sahélienne",14.22106,-3.29841
"89","Finni Kolonka","FINNI_KOLONKA","Plate 1","H05",83,"Kolonkan","Sokora","Bankass","Mopti","sahélienne",13.55676,-3.71155
"90","Fini","FINI_3","Plate 1","H06",64.79,"Mané","Timissa","Tominian","ségou","sahélienne",13.85638,-4.24291
"91","Finiblémi Kebila ","FINIBLEMI_KEBILA","Plate 1","H07",65.98,"Kébila","Kébila","Kolondiéba","sikasso","nord guinéenne",11.2925,-7.043
"92","Fini","FINI_4","Plate 1","H08",77.94,"Mané","Timissa","Tominian","ségou","sahélienne",13.85638,-4.24291
"93","Hon-on","HON_ON_1","Plate 1","H09",63.82,"Logo","Kanibonson","Bankass","Mopti","sahélienne",14.0261,-3.62865
"94","Pongon","PONGON_2","Plate 1","H10",69.97,"Koporo-Pen","Koporo Na","Koro","Mopti","sahélienne",14.22106,-3.29841
"95","Fini ","FINI_5","Plate 1","H11",54.99,"Daelan Sobala","San","San","ségou","sahélienne",13.27433,-4.99342
"96","Fini","FINI_6","Plate 1","H12",46.57,"Daelan Sobala","San","San","ségou","sahélienne",13.27433,-4.99342
"97","Pessi","PESSI","Plate 2","A01",76.5,"Daelan Sobala","San","San","ségou","sahélienne",13.27433,-4.99342
"98","Fini","FINI_7","Plate 2","A02",87.59,"Solosso","San","San","ségou","sahélienne",13.088895,-5.00094
"99","Fini","FINI_8","Plate 2","A03",91.7,"Solosso","San","San","ségou","sahélienne",13.088895,-5.00094
"100","Fini Solossé","FINI_SOLOSSE","Plate 2","A04",34.44,"Solosso","San","San","ségou","sahélienne",13.088895,-5.00094
"101","Pongon","PONGON_3","Plate 2","A05",75.05,"Temegolo","Koporo Na","Koro","Mopti","sahélienne",14.13743,-3.24592
"102","Finni","FINNI_1","Plate 2","A06",71.82,"Mané","Timissa","Tominian","ségou","sahélienne",13.85638,-4.24291
"103","Fini","FINI_9","Plate 2","A07",88.16,"Solosso","San","San","ségou","sahélienne",13.088895,-5.00094
"104","Hon-on","HON_ON_2","Plate 2","A08",75.86,"Doundé","Segué","Bankass","Mopti","sahélienne",13.95427,-3.71553
"105","Hon-on","HON_ON_3","Plate 2","A09",70.97,"Doundé","Segué","Bankass","Mopti","sahélienne",13.95427,-3.71553
"106","Pongon","PONGON_4","Plate 2","A10",66.71,"Douna","Djougany","Koro","Mopti","sahélienne",14.19224,-3.17783
"107","Fini Diouma","FINI_DIOUMA","Plate 2","A11",86.11,"Diouna","Katiéna","Ségou","ségou","sahélienne",13.43456,-5.81591
"108","Findi","FINDI_3","Plate 2","A12",62.92,"Sagabary","Faraba","Kénieba","Kayes","nord guinéenne",12.58975,-9.79591
"109","Fini Koussina","FINI_KOUSSINA","Plate 2","B01",78.2,"Koussana","Cinzana gare","Ségou","ségou","sahélienne",13.40181,-6.01125
"110","Finiblen de kissa","FINIBLEN_DE_KISSA","Plate 2","B02",90.54,"Kissa","Kolondiéba","Kolondiéba","sikasso","nord guinéenne",10.9195,-6.8774
